txn_ref,utr,amount,value_date,narration,merchant_id
TXN6525903622,UTR50761855847,43374.32,2026-08-13,NEFT-RAZORPAY-MERCH_002,MERCH_002
TXN4887091497,UTR67919123398,19486.9,2026-08-12,NEFT-RAZORPAY-MERCH_005,MERCH_005
TXN4518623304,UTR407930040114,19782.19,2026-08-11,NEFT-RAZORPAY-MERCH_005,MERCH_005
TXN8930698117,UTR668448685759,20046.72,2026-08-12,NEFT-RAZORPAY-MERCH_003,MERCH_003
TXN2600114603,UTR468891916207,10745.51,2026-08-13,NEFT-RAZORPAY-MERCH_001,MERCH_001
TXN7520968513,,6686.67,2026-08-19,NEFT-RAZORPAY-MERCH_004,MERCH_004
TXN7490788650,,20780.0,2026-08-20,NEFT-RAZORPAY-MERCH_003,MERCH_003
TXN6386226683,UTR567036584703,40897.38,2026-08-04,NEFT-RAZORPAY-MERCH_001,MERCH_001
TXN7049049977,UTR496763033647,13130.12,2026-08-10,NEFT-RAZORPAY-MERCH_005,MERCH_005
TXN9445028232,UTR515548139192,29339.69,2026-08-02,NEFT-RAZORPAY-MERCH_003,MERCH_003
TXN1459368062,UTR505323033518,21554.32,2026-08-18,NEFT-RAZORPAY-MERCH_001,MERCH_001
TXN2811159624,UTR66435399718,21886.68,2026-08-21,NEFT-RAZORPAY-MERCH_001,MERCH_001
TXN1428712340,UTR328781285086,17455.9,2026-08-03,NEFT-RAZORPAY-MERCH_002,MERCH_002
TXN1634109809,UTR87489678765,24878.89,2026-08-03,NEFT-RAZORPAY-MERCH_001,MERCH_001
TXN6225041573,,17434.98,2026-08-16,NEFT-RAZORPAY-MERCH_003,MERCH_003
TXN9858605836,UTR147013145657,26301.37,2026-08-06,NEFT-RAZORPAY-MERCH_005,MERCH_005
TXN7784661297,UTR252932759822,34825.02,2026-08-02,NEFT-RAZORPAY-MERCH_003,MERCH_003
TXN944657831,UTR640803120467,7252.52,2026-08-02,NEFT-RAZORPAY-MERCH_004,MERCH_004
TXN3535692117,,19859.37,2026-08-02,NEFT-RAZORPAY-MERCH_004,MERCH_004
TXN9865578426,,2515.53,2026-08-04,NEFT-RAZORPAY-MERCH_001,MERCH_001
TXN8907184259,UTR213834420873,29085.95,2026-08-16,NEFT-RAZORPAY-MERCH_001,MERCH_001
TXN6781260914,UTR231777934167,27187.75,2026-08-03,NEFT-RAZORPAY-MERCH_002,MERCH_002
TXN2964156172,UTR868563113084,5572.78,2026-08-06,NEFT-RAZORPAY-MERCH_005,MERCH_005
TXN9490247186,UTR974118540399,5381.11,2026-08-08,NEFT-RAZORPAY-MERCH_001,MERCH_001
TXN6803963847,UTR567406237153,42958.74,2026-08-02,NEFT-RAZORPAY-MERCH_003,MERCH_003
TXN1501265075,UTR473831951302,44234.06,2026-08-05,NEFT-RAZORPAY-MERCH_001,MERCH_001
TXN4462130551,,1519.67,2026-08-02,NEFT-RAZORPAY-MERCH_001,MERCH_001
TXN8555760719,UTR672251886946,22704.89,2026-08-16,NEFT-RAZORPAY-MERCH_005,MERCH_005
TXN2136699037,UTR838785969577,27015.77,2026-08-17,NEFT-RAZORPAY-MERCH_005,MERCH_005
TXN4958975941,,18900.85,2026-08-16,NEFT-RAZORPAY-MERCH_003,MERCH_003
TXN5566517522,UTR327793776008,22431.65,2026-08-01,NEFT-RAZORPAY-MERCH_001,MERCH_001
TXN8092963870,UTR9975251818,25591.01,2026-07-31,NEFT-RAZORPAY-MERCH_002,MERCH_002
TXN4793290139,UTR191478285140,12740.44,2026-08-03,NEFT-RAZORPAY-MERCH_003,MERCH_003
TXN828581968,UTR296578863358,25539.86,2026-07-30,NEFT-RAZORPAY-MERCH_001,MERCH_001
TXN1359561754,UTR296578863358,25539.86,2026-07-30,NEFT-RAZORPAY-DUP-MERCH_001,MERCH_001
TXN5548511178,UTR884439879230,30288.66,2026-08-06,NEFT-RAZORPAY-MERCH_003,MERCH_003
TXN2101360397,UTR236077545067,20790.07,2026-07-30,NEFT-RAZORPAY-MERCH_004,MERCH_004
TXN9429030981,UTR674462208871,19859.55,2026-08-12,NEFT-RAZORPAY-MERCH_005,MERCH_005
TXN4244599430,,14936.87,2026-07-29,NEFT-RAZORPAY-MERCH_004,MERCH_004
TXN3426034308,UTR700733422645,15803.1,2026-07-29,NEFT-RAZORPAY-MERCH_002,MERCH_002
TXN2443503847,,16951.22,2026-08-03,NEFT-RAZORPAY-MERCH_002,MERCH_002
TXN6348318277,UTR33383293041,6964.9,2026-08-06,NEFT-RAZORPAY-MERCH_001,MERCH_001
TXN187848229,UTR474420383523,16414.02,2026-08-02,NEFT-RAZORPAY-MERCH_005,MERCH_005
TXN6917618284,UTR969221189477,14034.54,2026-08-15,NEFT-RAZORPAY-MERCH_004,MERCH_004
