invoice_no,taxable_amount,gst_amount,total_amount,date,merchant_id,payment_id
INV-2026-696216,17959.81,3232.77,21192.58,2026-08-17,MERCH_004,pay_dd63f51f4afb
INV-2026-550522,37901.09,6822.2,44723.29,2026-08-19,MERCH_003,pay_9501ebd93276
INV-2026-774952,5458.1,982.46,6440.56,2026-08-11,MERCH_004,pay_7f5879802cae
INV-2026-870798,21363.9,3845.5,25209.4,2026-08-15,MERCH_003,pay_f56f9810eb79
INV-2026-951428,31305.54,5635.0,36940.54,2026-08-09,MERCH_004,pay_b137bd0f556f
INV-2026-343386,5883.75,1059.07,6942.82,2026-08-14,MERCH_004,pay_8956eaf1ffb8
INV-2026-373499,6792.1,1222.58,8014.68,2026-08-04,MERCH_003,pay_fe56575a8b00
INV-2026-252148,3668.21,660.28,4328.49,2026-08-11,MERCH_001,pay_98bc04d54f38
INV-2026-957381,32571.31,5862.84,38434.15,2026-08-22,MERCH_005,pay_068b9cec85d0
INV-2026-293318,30903.25,5562.59,36465.84,2026-08-11,MERCH_004,pay_2eaedf29e8e0
INV-2026-144471,1573.58,283.25,1856.83,2026-08-11,MERCH_001,pay_2bc4383b6f41
INV-2026-594824,20558.33,3700.5,24258.83,2026-08-06,MERCH_003,pay_dcafaa0e3462
INV-2026-133289,12967.65,2334.18,15301.83,2026-08-20,MERCH_005,pay_49acb809c56b
INV-2026-606871,22275.92,4009.66,26285.58,2026-08-17,MERCH_001,pay_4ab6de98d183
INV-2026-366242,25448.59,4580.75,30029.34,2026-08-25,MERCH_002,pay_861a92aa3c64
INV-2026-626000,6293.44,1132.82,7426.26,2026-08-15,MERCH_004,pay_42619cdfa531
INV-2026-536148,35768.12,6438.26,42206.38,2026-08-11,MERCH_003,pay_720dd9e9d297
INV-2026-50915,5481.1,986.6,6467.7,2026-08-17,MERCH_002,pay_556bb8ca1361
INV-2026-50170,8062.5,1451.25,9513.75,2026-08-22,MERCH_003,pay_b29858ca7713
INV-2026-570223,22225.28,4000.55,26225.83,2026-08-08,MERCH_003,pay_20107f3e7274
INV-2026-997267,868.41,156.31,1024.72,2026-08-12,MERCH_002,pay_adc429ee816f
INV-2026-887294,31083.76,5595.08,36678.84,2026-08-28,MERCH_004,pay_bf59f0a298e6
INV-2026-436117,14847.07,2672.47,17519.54,2026-08-23,MERCH_002,pay_95626758c0c5
INV-2026-877087,36727.49,6610.95,43338.44,2026-08-28,MERCH_001,pay_8936c36b8505
INV-2026-137401,20758.75,3176.09,23934.84,2026-08-14,MERCH_001,pay_acb03da72736
INV-2026-967007,2874.36,517.38,3391.74,2026-08-17,MERCH_005,pay_c81e2102b3ac
