tier,rule,match_method,status,match_type,payment_id,utr,merchant_id,razorpay_amount,bank_amount,razorpay_date,bank_date,confidence,rule_fired,timestamp
1,EXACT_REF_MATCH,Deterministic Match,MATCHED,Tier 1 (Exact UTR),pay_725767bb2645,UTR148656181726,MERCH_005,37257.38,37257.38,2026-08-20,2026-08-21,1.0,Deterministic Match (EXACT_REF_MATCH),2026-09-03 21:03:09
1,EXACT_REF_MATCH,Deterministic Match,MATCHED,Tier 1 (Exact UTR),pay_b8a5a05d8752,UTR140718621090,MERCH_003,1264.92,1264.92,2026-08-14,2026-08-18,1.0,Deterministic Match (EXACT_REF_MATCH),2026-09-03 21:03:09
1,EXACT_REF_MATCH,Deterministic Match,MATCHED,Tier 1 (Exact UTR),pay_a3a932b94ae2,UTR733309722369,MERCH_001,38925.93,38925.93,2026-08-15,2026-08-17,1.0,Deterministic Match (EXACT_REF_MATCH),2026-09-03 21:03:09
1,EXACT_REF_MATCH,Deterministic Match,MATCHED,Tier 1 (Exact UTR),pay_673001c7508e,UTR799378909616,MERCH_003,12862.42,12862.42,2026-08-29,2026-08-31,1.0,Deterministic Match (EXACT_REF_MATCH),2026-09-03 21:03:09
1,EXACT_REF_MATCH,Deterministic Match,MATCHED,Tier 1 (Exact UTR),pay_bbf217e143c1,UTR930639938247,MERCH_004,11712.76,11712.76,2026-08-16,2026-08-17,1.0,Deterministic Match (EXACT_REF_MATCH),2026-09-03 21:03:09
1,EXACT_REF_MATCH,Deterministic Match,MATCHED,Tier 1 (Exact UTR),pay_bcd6d8c74086,UTR836690759316,MERCH_005,14974.68,14974.68,2026-08-05,2026-08-06,1.0,Deterministic Match (EXACT_REF_MATCH),2026-09-03 21:03:09
1,EXACT_REF_MATCH,Deterministic Match,MATCHED,Tier 1 (Exact UTR),pay_508ada14b82b,UTR835669523193,MERCH_001,41627.1,41627.1,2026-08-09,2026-08-11,1.0,Deterministic Match (EXACT_REF_MATCH),2026-09-03 21:03:09
1,EXACT_REF_MATCH,Deterministic Match,MATCHED,Tier 1 (Exact UTR),pay_73a0326c15df,UTR360230245409,MERCH_001,27705.59,27705.59,2026-08-20,2026-08-21,1.0,Deterministic Match (EXACT_REF_MATCH),2026-09-03 21:03:09
1,EXACT_REF_MATCH,Deterministic Match,MATCHED,Tier 1 (Exact UTR),pay_ff30deba3a82,UTR115377385486,MERCH_005,2073.79,2073.79,2026-08-18,2026-08-19,1.0,Deterministic Match (EXACT_REF_MATCH),2026-09-03 21:03:09
1,EXACT_REF_MATCH,Deterministic Match,MATCHED,Tier 1 (Exact UTR),pay_4649796f02a6,UTR499434922178,MERCH_003,8151.81,8151.81,2026-08-26,2026-08-28,1.0,Deterministic Match (EXACT_REF_MATCH),2026-09-03 21:03:09
1,EXACT_REF_MATCH,Deterministic Match,MATCHED,Tier 1 (Exact UTR),pay_ae495db827d9,UTR517996815518,MERCH_002,29660.84,29660.84,2026-08-15,2026-08-17,1.0,Deterministic Match (EXACT_REF_MATCH),2026-09-03 21:03:09
1,EXACT_REF_MATCH,Deterministic Match,MATCHED,Tier 1 (Exact UTR),pay_b8f86f4bcf5c,UTR809957996535,MERCH_005,7949.13,7949.13,2026-08-11,2026-08-13,1.0,Deterministic Match (EXACT_REF_MATCH),2026-09-03 21:03:09
1,EXACT_REF_MATCH,Deterministic Match,MATCHED,Tier 1 (Exact UTR),pay_d76bcbb2b405,UTR866354424002,MERCH_002,21241.51,21241.51,2026-08-29,2026-08-31,1.0,Deterministic Match (EXACT_REF_MATCH),2026-09-03 21:03:09
1,EXACT_REF_MATCH,Deterministic Match,MATCHED,Tier 1 (Exact UTR),pay_4a79f7077dfc,UTR115653733624,MERCH_002,5774.56,5774.56,2026-08-05,2026-08-06,1.0,Deterministic Match (EXACT_REF_MATCH),2026-09-03 21:03:09
1,EXACT_REF_MATCH,Deterministic Match,MATCHED,Tier 1 (Exact UTR),pay_227717464ba0,UTR301479715814,MERCH_003,19967.31,19967.31,2026-08-11,2026-08-13,1.0,Deterministic Match (EXACT_REF_MATCH),2026-09-03 21:03:09
1,EXACT_REF_MATCH,Deterministic Match,MATCHED,Tier 1 (Exact UTR),pay_77cf4ff95824,UTR720630783450,MERCH_001,13430.33,13430.33,2026-08-13,2026-08-15,1.0,Deterministic Match (EXACT_REF_MATCH),2026-09-03 21:03:09
1,EXACT_REF_MATCH,Deterministic Match,MATCHED,Tier 1 (Exact UTR),pay_ae5b2428402c,UTR654661473412,MERCH_001,16719.54,16719.54,2026-08-20,2026-08-22,1.0,Deterministic Match (EXACT_REF_MATCH),2026-09-03 21:03:09
1,EXACT_REF_MATCH,Deterministic Match,MATCHED,Tier 1 (Exact UTR),pay_6c334206d5a1,UTR730324667103,MERCH_005,28151.55,28151.55,2026-08-23,2026-08-24,1.0,Deterministic Match (EXACT_REF_MATCH),2026-09-03 21:03:09
1,EXACT_REF_MATCH,Deterministic Match,MATCHED,Tier 1 (Exact UTR),pay_7fedb77b71e2,UTR750730150567,MERCH_005,4395.26,4395.26,2026-08-05,2026-08-06,1.0,Deterministic Match (EXACT_REF_MATCH),2026-09-03 21:03:09
1,EXACT_REF_MATCH,Deterministic Match,MATCHED,Tier 1 (Exact UTR),pay_02f166bf116a,UTR52144044508,MERCH_005,20960.59,20960.59,2026-08-06,2026-08-07,1.0,Deterministic Match (EXACT_REF_MATCH),2026-09-03 21:03:09
1,EXACT_REF_MATCH,Deterministic Match,MATCHED,Tier 1 (Exact UTR),pay_af64d5b111f7,UTR230460994344,MERCH_004,20151.33,20151.33,2026-08-06,2026-08-08,1.0,Deterministic Match (EXACT_REF_MATCH),2026-09-03 21:03:09
1,EXACT_REF_MATCH,Deterministic Match,MATCHED,Tier 1 (Exact UTR),pay_f42ac3ad4514,UTR505509144114,MERCH_005,28794.58,28794.58,2026-08-15,2026-08-17,1.0,Deterministic Match (EXACT_REF_MATCH),2026-09-03 21:03:09
1,EXACT_REF_MATCH,Deterministic Match,MATCHED,Tier 1 (Exact UTR),pay_aa5017ef71eb,UTR195902047688,MERCH_005,17165.57,17165.57,2026-08-21,2026-08-22,1.0,Deterministic Match (EXACT_REF_MATCH),2026-09-03 21:03:09
1,EXACT_REF_MATCH,Deterministic Match,MATCHED,Tier 1 (Exact UTR),pay_16fab5d3b74b,UTR321288962565,MERCH_001,33410.47,33410.47,2026-08-19,2026-08-21,1.0,Deterministic Match (EXACT_REF_MATCH),2026-09-03 21:03:09
1,EXACT_REF_MATCH,Deterministic Match,MATCHED,Tier 1 (Exact UTR),pay_16d6b2b61606,UTR897195828496,MERCH_001,10136.25,10136.25,2026-08-26,2026-08-27,1.0,Deterministic Match (EXACT_REF_MATCH),2026-09-03 21:03:09
1,EXACT_REF_MATCH,Deterministic Match,MATCHED,Tier 1 (Exact UTR),pay_ad75809a8292,UTR493699226448,MERCH_004,4626.81,4626.81,2026-08-08,2026-08-09,1.0,Deterministic Match (EXACT_REF_MATCH),2026-09-03 21:03:09
1,EXACT_REF_MATCH,Deterministic Match,MATCHED,Tier 1 (Exact UTR),pay_9e562bdd68b3,UTR351862395992,MERCH_004,35582.88,35582.88,2026-08-07,2026-08-08,1.0,Deterministic Match (EXACT_REF_MATCH),2026-09-03 21:03:09
1,EXACT_REF_MATCH,Deterministic Match,MATCHED,Tier 1 (Exact UTR),pay_cd96b8c665fb,UTR462153709355,MERCH_004,16099.4,16099.4,2026-08-23,2026-08-24,1.0,Deterministic Match (EXACT_REF_MATCH),2026-09-03 21:03:09
